#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_db3997607640_A1_KAPITEL_6_Audio_134_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuck Biltz&#44; an der Stad.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Look Blitz&#44; in der Stad.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- D&#x27;Leni ass mäi Meedchen.<br>- De Mike ass mäi Neveu.<br>- An d&#x27;Sophie ass meng Niess.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_4568c63ec33a_A1_KAPITEL_6_Audio_136_003.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Leni is my girl.<br>- Mike is my nephew.<br>- Sophie is my niece.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_fe00c1494c75_A1_KAPITEL_6_Audio_137_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wéi heescht Dir?<br>- Mäi Numm ass Kréistoun.<br>- Vu wou kënnt Dir?<br>- Ech kommen aus Lëtzebuerg.<br>- Wéi laang wunnt Dir schonn hei?<br>- Ech wunnen zënter fënnef Joer hei.<br>- Hutt Dir eng grouss Famill?<br>- Jo&#44; ech hunn eng grouss Famill.<br>- Wéi vill Bridder a Schwësteren hutt Dir?<br>- Ech hunn zwou Bridder a véier Schwësteren.<br>- A wéi eng Familljemember schwätzt Dir am léifsten?<br>- Ech schwätzen am léifsten mat menger Mamm.<br>- An Dir?<br>- Ech schwätzen am léifsten mat mengem Papp.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- What is your name?<br>- My name is Kréistoun.<br>- And where are you from?<br>- I come from Luxembourg.<br>- How long have you lived here?<br>- I have lived here for five years.<br>- Do you have a large family?<br>- Yes&#44; I have a large family.<br>- How many brothers and sisters do you have?<br>- I have two brothers and four sisters.<br>- Which family member do you speak to most lovingly?<br>- I speak most lovingly with my mother.<br>- And you?<br>- I speak most lovingly with my father.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wéi heescht Dir?<br>- Mäi Numm ass Kréistoun.<br>- Vu wou kënnt Dir?<br>- Ech kommen aus Lëtzebuerg.<br>- Wéi laang wunnt Dir schonn hei?<br>- Ech wunnen zënter fënnef Joer hei.<br>- Hutt Dir eng grouss Famill?<br>- Jo&#44; ech hunn eng grouss Famill.<br>- Wéi vill Bridder a Schwësteren hutt Dir?<br>- Ech hunn zwou Bridder a véier Schwësteren.<br>- A wéi eng Familljemember schwätzt Dir am léifsten?<br>- Ech schwätzen am léifsten mat menger Mamm.<br>- An Dir?<br>- Ech schwätzen am léifsten mat mengem Papp.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_fe00c1494c75_A1_KAPITEL_6_Audio_137_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- What is your name?<br>- My name is Kréistoun.<br>- And where are you from?<br>- I come from Luxembourg.<br>- How long have you lived here?<br>- I have lived here for five years.<br>- Do you have a large family?<br>- Yes&#44; I have a large family.<br>- How many brothers and sisters do you have?<br>- I have two brothers and four sisters.<br>- Which family member do you speak to most lovingly?<br>- I speak most lovingly with my mother.<br>- And you?<br>- I speak most lovingly with my father.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_c6de4fd1d0ae_A1_KAPITEL_6_Audio_137_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Eent.<br>- Ech si viru kuerzem Monni ginn;<br>- meng Schwëster a säi Mann hunn e klengt Meedchen adoptéiert.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- One.<br>- I recently became a monk;<br>- my sister and her husband adopted a small daughter.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Eent.<br>- Ech si viru kuerzem Monni ginn;<br>- meng Schwëster a säi Mann hunn e klengt Meedchen adoptéiert.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_c6de4fd1d0ae_A1_KAPITEL_6_Audio_137_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- One.<br>- I recently became a monk;<br>- my sister and her husband adopted a small daughter.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_a8b73e9b828c_A1_KAPITEL_6_Audio_138_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mir fueren oft an Norwegen an a Lettland an d&#x27;Vakanz.<br>- Dat ass flott&#44; well eis Cousinen a Cousinen och an engem Schwammclub sinn.<br>- Mir kënne dann zesummen trainéieren a Kuerfse maachen.<br>- Mäi Papp ass dann och frou&#44; fir seng Elteren a seng Geschwëster ze gesinn.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- We often travel to Norway and Latvia on vacation.<br>- That’s great&#44; because our cousins are also in a swimming club.<br>- We can then train together and do football.<br>- My dad is also happy to see his parents and siblings.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mir fueren oft an Norwegen an a Lettland an d&#x27;Vakanz.<br>- Dat ass flott&#44; well eis Cousinen a Cousinen och an engem Schwammclub sinn.<br>- Mir kënne dann zesummen trainéieren a Kuerfse maachen.<br>- Mäi Papp ass dann och frou&#44; fir seng Elteren a seng Geschwëster ze gesinn.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_a8b73e9b828c_A1_KAPITEL_6_Audio_138_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- We often travel to Norway and Latvia on vacation.<br>- That’s great&#44; because our cousins are also in a swimming club.<br>- We can then train together and do football.<br>- My dad is also happy to see his parents and siblings.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_297b7adf28df_A1_KAPITEL_6_Audio_139_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Meng Mamm a meng Geschwëster wunnen um Kopfeck&#44;<br>- mee ech sinn zënter engem Joer op Lëtzebuerg komm.<br>- Mee ech gesinn se nëmmen emol d&#x27;Joer um Familljefest&#44;<br>- mee mir telefonéiere ganz oft.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- My mom and my siblings live in Kopfeck&#44;<br>- but I have been in Luxembourg for a year.<br>- But I only see them once a year at the family party&#44;<br>- but we call each other very often.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Meng Mamm a meng Geschwëster wunnen um Kopfeck&#44;<br>- mee ech sinn zënter engem Joer op Lëtzebuerg komm.<br>- Mee ech gesinn se nëmmen emol d&#x27;Joer um Familljefest&#44;<br>- mee mir telefonéiere ganz oft.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_297b7adf28df_A1_KAPITEL_6_Audio_139_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- My mom and my siblings live in Kopfeck&#44;<br>- but I have been in Luxembourg for a year.<br>- But I only see them once a year at the family party&#44;<br>- but we call each other very often.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_3cc2e22312f5_A1_KAPITEL_6_Audio_140_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech wunnen zu Lëtzebuerg.<br>- Meng Monni wunnt an der Belsch.<br>- Mee hie schafft zu Lëtzebuerg.<br>- Hie kënnt heiansdo an der Mëttesstonn bei eis iessen.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- I live in Luxembourg.<br>- My aunt lives in Belgium.<br>- But he works in Luxembourg.<br>- He sometimes comes at noon to eat with us.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech wunnen zu Lëtzebuerg.<br>- Meng Monni wunnt an der Belsch.<br>- Mee hie schafft zu Lëtzebuerg.<br>- Hie kënnt heiansdo an der Mëttesstonn bei eis iessen.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_3cc2e22312f5_A1_KAPITEL_6_Audio_140_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- I live in Luxembourg.<br>- My aunt lives in Belgium.<br>- But he works in Luxembourg.<br>- He sometimes comes at noon to eat with us.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_ab6eea3734b2_A1_KAPITEL_6_Audio_141_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lärscht dat a schwätzt nach no.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Learn that and keep talking about it.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Lärscht dat a schwätzt nach no.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_ab6eea3734b2_A1_KAPITEL_6_Audio_141_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Learn that and keep talking about it.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b4c6ee5f4667_A1_KAPITEL_6_Audio_141_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wéi heescht Dir?<br>- Frank.<br>- Vu wou kommt Dir?<br>- Ech kommen aus Däitschland.<br>- Wou wunnt Dir?<br>- Ech wunnt zu Lëtzebuerg.<br>- Sidd Dir Schwäizer?<br>- Nee&#44; ech sinn Däitsch.<br>- An Dir?</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- What is your name?<br>- Frank.<br>- Where are you from?<br>- I come from Germany.<br>- Where do you live?<br>- I live in Luxembourg.<br>- Are you Swiss?<br>- No&#44; I am German.<br>- And you?</div></div>
