#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b5d41a225f4f_A1_KAPITEL_4_Audio_100_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wat héiert Dir?<br>- Wou héiert Dir dat?<br>- Mächt proposen.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- O que você ouve?<br>- De onde você ouve isso?<br>- Pode propor.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mat de Scouten maache mir vill interessant Aktivitéiten:<br>- Mir grillen a campéieren dobaussen&#44;<br>- mir sangen vill a mir spille Theater.<br>- Heiansdo maache mir och en Ausfluch&#44; zum Beispill op Feierenen oder op Esch-Sauer.<br>- Freides no der Schoul gi mir oft an de Kino.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_9efd138b6e1e_A1_KAPITEL_4_Audio_102_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Com os escoteiros fazemos muitas atividades interessantes:<br>- Fazemos churrasco e acampamos ao ar livre&#44;<br>- cantamos muito e fazemos teatro.<br>- Às vezes também fazemos uma viagem&#44; por exemplo para festas ou para Esch-Sauer.<br>- Sexta-feira depois da escola vamos muitas vezes ao cinema.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8049691d1549_A1_KAPITEL_4_Audio_103_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Dräi.<br>- Ech gi gär mat de Kolleege raus.<br>- Mëttes um zwielef Auer gi mir normalerweis fir den Afterwork an d&#x27;Aal Stad.<br>- Wann d&#x27;Wieder gutt ass&#44; ginn ech de Weekend gär klammen.<br>- Owes ginn ech dacks an d&#x27;riichte Klausen.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Três.<br>- Eu gosto de sair com os colegas.<br>- Ao meio-dia às doze normalmente vou para o Afterwork na Aal Stad.<br>- Se o tempo estiver bom&#44; eu gosto de cantar no fim de semana.<br>- À noite eu vou com frequência aos correios.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Dräi.<br>- Ech gi gär mat de Kolleege raus.<br>- Mëttes um zwielef Auer gi mir normalerweis fir den Afterwork an d&#x27;Aal Stad.<br>- Wann d&#x27;Wieder gutt ass&#44; ginn ech de Weekend gär klammen.<br>- Owes ginn ech dacks an d&#x27;riichte Klausen.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8049691d1549_A1_KAPITEL_4_Audio_103_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Três.<br>- Eu gosto de sair com os colegas.<br>- Ao meio-dia às doze normalmente vou para o Afterwork na Aal Stad.<br>- Se o tempo estiver bom&#44; eu gosto de cantar no fim de semana.<br>- À noite eu vou com frequência aos correios.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_522ef943a882_A1_KAPITEL_4_Audio_104_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mir wunnen zu Beetebuerg.<br>- An dofir gi mir ganz dacks an de Märechepark.<br>- Kanner fannen immens gäre Déieren.<br>- Zu Lëtzebuerg gëtt et vill kulturell Aktivitéite fir Kanner.<br>- Dofir gi mer och oft an den Theater.<br>- Sonndes moies gi mer alt zesummen an d&#x27;Schwämm.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Nós moramos em Betêbuerg.<br>- E por isso vamos muitas vezes ao Märechepark.<br>- As crianças gostam imenso de animais.<br>- Em Luxemburgo há muitas atividades culturais para crianças.<br>- Por isso vamos muitas vezes ao teatro também.<br>- No domingo de manhã vamos todos juntos ao banho público.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mir wunnen zu Beetebuerg.<br>- An dofir gi mir ganz dacks an de Märechepark.<br>- Kanner fannen immens gäre Déieren.<br>- Zu Lëtzebuerg gëtt et vill kulturell Aktivitéite fir Kanner.<br>- Dofir gi mer och oft an den Theater.<br>- Sonndes moies gi mer alt zesummen an d&#x27;Schwämm.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_522ef943a882_A1_KAPITEL_4_Audio_104_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Nós moramos em Betêbuerg.<br>- E por isso vamos muitas vezes ao Märechepark.<br>- As crianças gostam imenso de animais.<br>- Em Luxemburgo há muitas atividades culturais para crianças.<br>- Por isso vamos muitas vezes ao teatro também.<br>- No domingo de manhã vamos todos juntos ao banho público.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_42fc1fda78d4_A1_KAPITEL_4_Audio_89_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuckt Fotoen.<br>- Liest a lauschtert den Text.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Olhe fotos.<br>- Leia e ouça o texto.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuckt Fotoen.<br>- Liest a lauschtert den Text.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_42fc1fda78d4_A1_KAPITEL_4_Audio_89_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Olhe fotos.<br>- Leia e ouça o texto.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_e6359c8e1393_A1_KAPITEL_4_Audio_89_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech sinn Manuela Weidartz.<br>- Ech schaffe bei enger Bank.<br>- Ech schaffe just hallef Deeg&#44; fir en Haus bis zwielef Auer.<br>- Mäi Job ass stresseg&#44; mä ganz interessant.<br>- Ech berode Kliënten a kontrolléieren din Bassissiounen.<br>- Mäi Meedchent Laura geet moies an de Krësch.<br>- No mettes hunn ech Zeit fir hat.<br>- Mir ginn op de Spillplatz oder an d&#x27;Schwämm.<br>- Owes ass ganz Famill zesummen.<br>- Mäi Mann spillt e bësse mam Laura&#44;<br>- an dann iessen mir zesummen zu Nuest.<br>- Dënschdes owes ginn ech an de Fitness&#44;<br>- a samschdes ginn ech op de Fussballstraining.<br>- Haians do ginn ech mat menge Mann an de Restaurant oder an de Kino.<br>- Da passt meng Mama op d&#x27;Laura op.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Eu sou Manuela Weidartz.<br>- Eu trabalho em um banco.<br>- Eu trabalho apenas meio dia&#44; para um casa até meio-dia.<br>- Meu trabalho é estressante&#44; mas muito interessante.<br>- Eu atendo clientes e controlo as visitas.<br>- Minha namorada Laura vai pela manhã para a creche.<br>- Ao meio-dia eu tenho tempo para ela.<br>- Vamos ao parque de recreação ou à piscina.<br>- Às tardes fica a família toda reunida.<br>- Meu marido joga um pouco com a Laura&#44;<br>- e então comemos juntos no jantar.<br>- Terça à noite vou à academia&#44;<br>- e no sábado vou treinar futebol.<br>- Quando vejo&#44; eu com meu marido no restaurante ou no cinema.<br>- Então minha mãe cuida da Laura.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech sinn Manuela Weidartz.<br>- Ech schaffe bei enger Bank.<br>- Ech schaffe just hallef Deeg&#44; fir en Haus bis zwielef Auer.<br>- Mäi Job ass stresseg&#44; mä ganz interessant.<br>- Ech berode Kliënten a kontrolléieren din Bassissiounen.<br>- Mäi Meedchent Laura geet moies an de Krësch.<br>- No mettes hunn ech Zeit fir hat.<br>- Mir ginn op de Spillplatz oder an d&#x27;Schwämm.<br>- Owes ass ganz Famill zesummen.<br>- Mäi Mann spillt e bësse mam Laura&#44;<br>- an dann iessen mir zesummen zu Nuest.<br>- Dënschdes owes ginn ech an de Fitness&#44;<br>- a samschdes ginn ech op de Fussballstraining.<br>- Haians do ginn ech mat menge Mann an de Restaurant oder an de Kino.<br>- Da passt meng Mama op d&#x27;Laura op.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_e6359c8e1393_A1_KAPITEL_4_Audio_89_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Eu sou Manuela Weidartz.<br>- Eu trabalho em um banco.<br>- Eu trabalho apenas meio dia&#44; para um casa até meio-dia.<br>- Meu trabalho é estressante&#44; mas muito interessante.<br>- Eu atendo clientes e controlo as visitas.<br>- Minha namorada Laura vai pela manhã para a creche.<br>- Ao meio-dia eu tenho tempo para ela.<br>- Vamos ao parque de recreação ou à piscina.<br>- Às tardes fica a família toda reunida.<br>- Meu marido joga um pouco com a Laura&#44;<br>- e então comemos juntos no jantar.<br>- Terça à noite vou à academia&#44;<br>- e no sábado vou treinar futebol.<br>- Quando vejo&#44; eu com meu marido no restaurante ou no cinema.<br>- Então minha mãe cuida da Laura.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_73e97c666788_A1_KAPITEL_4_Audio_90_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wat mécht Madame Laurent?<br>- Lauschtert an notéiert Aktivitéite bei Tauatzäiten.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- O que faz a senhora Laurent?<br>- Ouça e registre atividades nos horários de taríficit.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wat mécht Madame Laurent?<br>- Lauschtert an notéiert Aktivitéite bei Tauatzäiten.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_73e97c666788_A1_KAPITEL_4_Audio_90_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- O que faz a senhora Laurent?<br>- Ouça e registre atividades nos horários de taríficit.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_a1b9966f25aa_A1_KAPITEL_4_Audio_90_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Madame Laurent huet haut fräi&#44; mee si huet e grousse Programm.<br>- Si geet um siwe na war an d&#x27;Dusch.<br>- An um hallwer aacht drénkt si Kaffi.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Madame Laurent hat heute frei&#44; aber sie hat ein großes Programm.<br>- Sie geht um sieben Uhr nach dem Duschen.<br>- Um halb acht trinkt sie Kaffee.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Madame Laurent huet haut fräi&#44; mee si huet e grousse Programm.<br>- Si geet um siwe na war an d&#x27;Dusch.<br>- An um hallwer aacht drénkt si Kaffi.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_a1b9966f25aa_A1_KAPITEL_4_Audio_90_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Madame Laurent hat heute frei&#44; aber sie hat ein großes Programm.<br>- Sie geht um sieben Uhr nach dem Duschen.<br>- Um halb acht trinkt sie Kaffee.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_87b152d60597_A1_KAPITEL_4_Audio_90_003.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Moies fiert si op d&#x27;Rei akafen.<br>- Si hält um zéng opneng den Zuch op der Gare.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Olá fiert ela no rei comprar.<br>- Ela mantém até dez abrir o trem na estação.</div></div>
