#separator:comma
#html:true
#columns:Front,Back
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_b5d41a225f4f_A1_KAPITEL_4_Audio_100_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wat héiert Dir?<br>- Wou héiert Dir dat?<br>- Mächt proposen.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- What do you hear?<br>- Where do you hear that?<br>- May I propose.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mat de Scouten maache mir vill interessant Aktivitéiten:<br>- Mir grillen a campéieren dobaussen&#44;<br>- mir sangen vill a mir spille Theater.<br>- Heiansdo maache mir och en Ausfluch&#44; zum Beispill op Feierenen oder op Esch-Sauer.<br>- Freides no der Schoul gi mir oft an de Kino.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_9efd138b6e1e_A1_KAPITEL_4_Audio_102_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- With the scouts we do many interesting activities:<br>- We grill and camp outside&#44;<br>- we sing a lot and we perform theater.<br>- Sometimes we also do an excursion&#44; for example to Feieren or to Esch-Sauer.<br>- On Fridays after school we often go to the cinema.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8049691d1549_A1_KAPITEL_4_Audio_103_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Dräi.<br>- Ech gi gär mat de Kolleege raus.<br>- Mëttes um zwielef Auer gi mir normalerweis fir den Afterwork an d&#x27;Aal Stad.<br>- Wann d&#x27;Wieder gutt ass&#44; ginn ech de Weekend gär klammen.<br>- Owes ginn ech dacks an d&#x27;riichte Klausen.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Three.<br>- I enjoy going out with the colleagues.<br>- At noon at twelve o&#x27;clock I normally go afterwork in the Aal Stad.<br>- If the weather is good&#44; I like to climb on the weekend.<br>- In the evening I often go to the right Klausen.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Dräi.<br>- Ech gi gär mat de Kolleege raus.<br>- Mëttes um zwielef Auer gi mir normalerweis fir den Afterwork an d&#x27;Aal Stad.<br>- Wann d&#x27;Wieder gutt ass&#44; ginn ech de Weekend gär klammen.<br>- Owes ginn ech dacks an d&#x27;riichte Klausen.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_8049691d1549_A1_KAPITEL_4_Audio_103_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Three.<br>- I enjoy going out with the colleagues.<br>- At noon at twelve o&#x27;clock I normally go afterwork in the Aal Stad.<br>- If the weather is good&#44; I like to climb on the weekend.<br>- In the evening I often go to the right Klausen.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_522ef943a882_A1_KAPITEL_4_Audio_104_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mir wunnen zu Beetebuerg.<br>- An dofir gi mir ganz dacks an de Märechepark.<br>- Kanner fannen immens gäre Déieren.<br>- Zu Lëtzebuerg gëtt et vill kulturell Aktivitéite fir Kanner.<br>- Dofir gi mer och oft an den Theater.<br>- Sonndes moies gi mer alt zesummen an d&#x27;Schwämm.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- We live in Bettembourg.<br>- So for that we often go to the Märechepark.<br>- Children love animals very much.<br>- In Luxembourg there are many cultural activities for children.<br>- Therefore we also often go to the theater.<br>- On Sundays mornings we all go into the pool together.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Mir wunnen zu Beetebuerg.<br>- An dofir gi mir ganz dacks an de Märechepark.<br>- Kanner fannen immens gäre Déieren.<br>- Zu Lëtzebuerg gëtt et vill kulturell Aktivitéite fir Kanner.<br>- Dofir gi mer och oft an den Theater.<br>- Sonndes moies gi mer alt zesummen an d&#x27;Schwämm.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_522ef943a882_A1_KAPITEL_4_Audio_104_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- We live in Bettembourg.<br>- So for that we often go to the Märechepark.<br>- Children love animals very much.<br>- In Luxembourg there are many cultural activities for children.<br>- Therefore we also often go to the theater.<br>- On Sundays mornings we all go into the pool together.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_42fc1fda78d4_A1_KAPITEL_4_Audio_89_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuckt Fotoen.<br>- Liest a lauschtert den Text.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Look at the photos.<br>- Read and listen to the text.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Kuckt Fotoen.<br>- Liest a lauschtert den Text.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_42fc1fda78d4_A1_KAPITEL_4_Audio_89_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Look at the photos.<br>- Read and listen to the text.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_e6359c8e1393_A1_KAPITEL_4_Audio_89_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech sinn Manuela Weidartz.<br>- Ech schaffe bei enger Bank.<br>- Ech schaffe just hallef Deeg&#44; fir en Haus bis zwielef Auer.<br>- Mäi Job ass stresseg&#44; mä ganz interessant.<br>- Ech berode Kliënten a kontrolléieren din Bassissiounen.<br>- Mäi Meedchent Laura geet moies an de Krësch.<br>- No mettes hunn ech Zeit fir hat.<br>- Mir ginn op de Spillplatz oder an d&#x27;Schwämm.<br>- Owes ass ganz Famill zesummen.<br>- Mäi Mann spillt e bësse mam Laura&#44;<br>- an dann iessen mir zesummen zu Nuest.<br>- Dënschdes owes ginn ech an de Fitness&#44;<br>- a samschdes ginn ech op de Fussballstraining.<br>- Haians do ginn ech mat menge Mann an de Restaurant oder an de Kino.<br>- Da passt meng Mama op d&#x27;Laura op.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- I am Manuela Weidartz.<br>- I work at a bank.<br>- I work only half a day&#44; for a house until twelve o&#x27;clock.<br>- My job is stressful&#44; but very interesting.<br>- I advise clients and control the deposits.<br>- My girlfriend Laura goes to bed in the morning.<br>- In the afternoon I have time for her.<br>- We go to the playground or to the pool.<br>- In the evening the whole family is together.<br>- My husband plays a little with Laura&#44;<br>- and then we eat together at noon.<br>- On Tuesdays in the evening I go to the gym&#44;<br>- and on Saturdays I go to football training.<br>- On Sundays I go with my husband to the restaurant or to the cinema.<br>- Then my mom looks after Laura.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Ech sinn Manuela Weidartz.<br>- Ech schaffe bei enger Bank.<br>- Ech schaffe just hallef Deeg&#44; fir en Haus bis zwielef Auer.<br>- Mäi Job ass stresseg&#44; mä ganz interessant.<br>- Ech berode Kliënten a kontrolléieren din Bassissiounen.<br>- Mäi Meedchent Laura geet moies an de Krësch.<br>- No mettes hunn ech Zeit fir hat.<br>- Mir ginn op de Spillplatz oder an d&#x27;Schwämm.<br>- Owes ass ganz Famill zesummen.<br>- Mäi Mann spillt e bësse mam Laura&#44;<br>- an dann iessen mir zesummen zu Nuest.<br>- Dënschdes owes ginn ech an de Fitness&#44;<br>- a samschdes ginn ech op de Fussballstraining.<br>- Haians do ginn ech mat menge Mann an de Restaurant oder an de Kino.<br>- Da passt meng Mama op d&#x27;Laura op.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_e6359c8e1393_A1_KAPITEL_4_Audio_89_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- I am Manuela Weidartz.<br>- I work at a bank.<br>- I work only half a day&#44; for a house until twelve o&#x27;clock.<br>- My job is stressful&#44; but very interesting.<br>- I advise clients and control the deposits.<br>- My girlfriend Laura goes to bed in the morning.<br>- In the afternoon I have time for her.<br>- We go to the playground or to the pool.<br>- In the evening the whole family is together.<br>- My husband plays a little with Laura&#44;<br>- and then we eat together at noon.<br>- On Tuesdays in the evening I go to the gym&#44;<br>- and on Saturdays I go to football training.<br>- On Sundays I go with my husband to the restaurant or to the cinema.<br>- Then my mom looks after Laura.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_73e97c666788_A1_KAPITEL_4_Audio_90_001.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wat mécht Madame Laurent?<br>- Lauschtert an notéiert Aktivitéite bei Tauatzäiten.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- What is Madame Laurent doing?<br>- Listen and note activities at times of duty.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Wat mécht Madame Laurent?<br>- Lauschtert an notéiert Aktivitéite bei Tauatzäiten.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_73e97c666788_A1_KAPITEL_4_Audio_90_001.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- What is Madame Laurent doing?<br>- Listen and note activities at times of duty.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_a1b9966f25aa_A1_KAPITEL_4_Audio_90_002.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Madame Laurent huet haut fräi&#44; mee si huet e grousse Programm.<br>- Si geet um siwe na war an d&#x27;Dusch.<br>- An um hallwer aacht drénkt si Kaffi.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Madam Laurent is free today&#44; but she has a big schedule.<br>- She goes to the seven to war and the shower.<br>- And at half past eight she drinks coffee.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Madame Laurent huet haut fräi&#44; mee si huet e grousse Programm.<br>- Si geet um siwe na war an d&#x27;Dusch.<br>- An um hallwer aacht drénkt si Kaffi.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_a1b9966f25aa_A1_KAPITEL_4_Audio_90_002.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Madam Laurent is free today&#44; but she has a big schedule.<br>- She goes to the seven to war and the shower.<br>- And at half past eight she drinks coffee.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_87b152d60597_A1_KAPITEL_4_Audio_90_003.mp3]</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Moies fiert si op d&#x27;Rei akafen.<br>- Si hält um zéng opneng den Zuch op der Gare.</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Hello&#44; she is going to the train to shop.</div></div>
<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='white-space:normal;padding:18px 20px;border:1px solid #e5e7eb;border-radius:10px;background:#ffffff;box-shadow:0 8px 24px #d1d5db;'>- Moies fiert si op d&#x27;Rei akafen.<br>- Si hält um zéng opneng den Zuch op der Gare.</div></div>,<div style='font-family:Arial;font-size:24px;line-height:1.45;color:#111827;max-width:760px;margin:0 auto;padding:22px;'><div style='display:flex;justify-content:center;align-items:center;min-height:150px;padding:22px;'>[sound:inll_87b152d60597_A1_KAPITEL_4_Audio_90_003.mp3]</div><div style='white-space:normal;margin-top:16px;padding:18px 20px;border-left:5px solid #2563eb;border-radius:10px;background:#f8fafc;'>- Hello&#44; she is going to the train to shop.</div></div>
